n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
430,2030,CZE,The Night We Met,Lord Huron,Strange Trails,83,2015-04-07,CA,0.545,0.969,208212,0.366,0.0378,86.997,0.1
431,2031,CZE,DTB for Life,STEIN27,PRESIDENT OF SEXICO,57,2023-08-25,AR,0.532,0.00421,151579,0.839,0.0422,170.94,0.558
432,2032,CZE,Banány (feat. Yzomandias),Viktor Sheen,Planeta opic,63,2023-10-13,AR,0.865,0.408,228000,0.461,0.396,120.014,0.538
433,2033,CZE,Až na měsíc,Viktor Sheen,Černobílej svět,61,2019-05-16,AR,0.741,0.265,208696,0.572,0.0645,115.093,0.525
"434,2034,CZE,I Ain't Worried,OneRepublic,""I Ain’t Worried (Music From The Motion Picture """"Top Gun: Maverick"""")"",91,2022-05-13,AR,0.704,0.0826,148486,0.797,0.0475,139.994,0.825"
435,2035,CZE,Sunset,Separ,FLOWDEMORT,59,2023-03-31,AR,0.762,0.237,155520,0.805,0.386,124.977,0.271
436,2036,CZE,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,2023-08-04,AR,0.634,0.0908,178156,0.824,0.047,137.959,0.371
437,2037,CZE,Cikády,Calin,ROADTRIP,61,2023-02-03,AR,0.848,0.0935,168923,0.537,0.0571,130.013,0.978
438,2038,CZE,Amsterdam (feat. Calin),KOJO,Late Checkout,51,2023-11-03,AR,0.762,0.126,163636,0.509,0.0668,131.945,0.549
439,2039,CZE,Pussy Power (feat. Porsche Boy),SIMILIVINLIFE,DVOJBODKAHVIEZDIČKA,57,2023-10-20,AR,0.9,0.0825,179557,0.737,0.0731,133.998,0.489
440,2040,CZE,Santé,Calin,Santé,61,2022-09-30,AR,0.604,0.4,114000,0.649,0.0524,120.111,0.273
441,2041,CZE,Vitej,Vadak,Vitej,58,2018-12-13,AR,0.7,0.669,140327,0.751,0.367,109.973,0.389
442,2042,CZE,Lows,Viktor Sheen,Planeta opic,62,2023-10-13,AR,0.923,0.268,176000,0.408,0.335,120.0,0.26
