n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
122,1122,USA,HARLEY QUINN,Fuerza Regida,Pa las Baby's Y Belikeada,90,2023-10-20,AR,0.815,0.0277,143327,0.741,0.0569,125.031,0.591
123,1123,USA,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),80,2023-11-03,AR,0.521,0.838,205484,0.366,0.034,141.965,0.225
124,1124,USA,vampire,Olivia Rodrigo,GUTS,95,2023-09-08,AR,0.511,0.177,219724,0.532,0.0578,138.005,0.35
125,1125,USA,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.0946,169.982,0.416
126,1126,USA,PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,97,2023-10-13,AR,0.911,0.0887,162768,0.778,0.262,96.057,0.345
127,1127,USA,Kill Bill,SZA,SOS,92,2022-12-08,AR,0.644,0.0521,153947,0.735,0.0391,88.98,0.418
128,1128,USA,Water,Tyla,Water,95,2023-07-28,AR,0.673,0.0856,200256,0.722,0.0755,117.187,0.519
129,1129,USA,Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,86,2023-03-03,AR,0.656,0.492,177388,0.757,0.0308,139.971,0.429
130,1130,USA,No Role Modelz,J. Cole,2014 Forest Hills Drive,91,2014-12-09,AR,0.69,0.324,292799,0.521,0.339,100.028,0.494
131,1131,USA,White Christmas - 1947 Version,Bing Crosby,Holiday Inn (Original Motion Picture Soundtrack),74,1942-01-01,AR,0.317,0.673,177480,0.158,0.0381,130.503,0.247
132,1132,USA,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,88,2023-10-06,AR,0.645,0.0377,319192,0.729,0.0528,146.01,0.142
133,1133,USA,Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,AR,0.575,0.000418,231000,0.824,0.038,94.971,0.292
"134,1134,USA,See You Again (feat. Kali Uchis),""Tyler, The Creator"",Flower Boy,92,2017-07-21,AR,0.558,0.371,180387,0.559,0.0959,78.558,0.62"
135,1135,USA,Pink + White,Frank Ocean,Blonde,91,2016-08-20,AR,0.545,0.667,184516,0.545,0.107,159.94,0.549
136,1136,USA,Wildest Dreams (Taylor's Version),Taylor Swift,1989 (Taylor's Version),86,2023-10-26,AR,0.581,0.0411,220433,0.672,0.0739,140.061,0.514
137,1137,USA,Sweater Weather,The Neighbourhood,I Love You.,93,2013-04-19,AR,0.612,0.0495,240400,0.807,0.0336,124.053,0.398
138,1138,USA,LADY GAGA,Peso Pluma,GÉNESIS,95,2023-06-29,AR,0.646,0.216,212878,0.736,0.0449,140.098,0.873
139,1139,USA,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,86,1994-10-28,AR,0.336,0.164,241107,0.627,0.0384,150.273,0.35
140,1140,USA,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,82,2023-11-03,AR,0.79,0.312,183551,0.831,0.044,124.987,0.872
141,1141,USA,Ella Baila Sola,Eslabon Armado,DESVELADO,86,2023-04-28,AR,0.668,0.483,165671,0.758,0.0332,147.989,0.834
142,1142,USA,bad idea right?,Olivia Rodrigo,GUTS,92,2023-09-08,AR,0.627,0.00193,184784,0.879,0.0955,129.979,0.748
143,1143,USA,QLONA,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),94,2023-08-10,AR,0.841,0.52,172798,0.738,0.307,169.918,0.484
144,1144,USA,Lovers Rock,TV Girl,French Exit,90,2014-06-05,AR,0.559,7.53e-06,213920,0.871,0.0397,104.97,0.572
145,1145,USA,Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),89,2023-10-26,AR,0.737,0.0976,231833,0.725,0.0641,96.012,0.755
146,1146,USA,You Proof,Morgan Wallen,One Thing At A Time,85,2023-03-03,AR,0.732,0.265,157478,0.839,0.0345,119.724,0.629
147,1147,USA,Out Of The Woods (Taylor's Version),Taylor Swift,1989 (Taylor's Version),88,2023-10-26,AR,0.547,0.000512,235800,0.885,0.0418,91.992,0.192
148,1148,USA,Romantic Homicide,d4vd,Romantic Homicide,91,2022-07-20,AR,0.571,0.453,132631,0.544,0.0299,132.052,0.216
149,1149,USA,Dark Red,Steve Lacy,Dark Red,90,2017-02-20,AR,0.603,0.446,173104,0.784,0.062,172.041,0.769
